BAGGAGE_ID,BOOKING_ID,BAGGAGE_WEIGHT,BAGGAGE_STATUS,CHECKEDIN_AT
2001,1444,35.79,Rejected,2025-07-15 12:02:00
2002,1084,25.45,Pending,2025-08-10 17:13:00
2003,1038,25.19,Pending,2025-06-02 21:44:00
2004,1468,11.76,Checked-In,2025-08-21 16:05:00
2005,1201,18.78,Rejected,2025-01-15 20:05:00
2006,1048,39.87,Checked-In,2025-06-19 12:44:00
2007,1098,5.37,Checked-In,2025-08-23 21:51:00
2008,1055,17.4,Pending,2025-01-17 22:35:00
2009,1343,21.06,Rejected,2025-02-01 01:52:00
2010,1003,18.4,Pending,2025-01-17 10:42:00
2011,1182,34.38,Checked-In,2025-05-29 00:31:00
2012,1050,16.52,Rejected,2025-07-24 05:29:00
2013,1305,26.35,Pending,2025-05-18 22:00:00
2014,1377,23.08,Rejected,2025-10-28 07:39:00
2015,1433,22.07,Pending,2025-02-27 01:49:00
2016,1189,22.76,Pending,2025-06-19 18:11:00
2017,1172,15.71,Pending,2025-07-25 02:07:00
2018,1069,37.25,Rejected,2025-05-20 08:04:00
2019,1297,20.01,Checked-In,2025-06-16 10:23:00
2020,1177,15.71,Checked-In,2025-03-29 11:03:00
2021,1145,13.66,Checked-In,2025-01-13 16:21:00
2022,1463,37.67,Checked-In,2025-02-15 07:58:00
2023,1034,31.69,Rejected,2025-06-06 12:43:00
2024,1449,37.63,Rejected,2025-04-01 01:00:00
2025,1049,17.94,Checked-In,2025-07-08 19:55:00
2026,1350,19.33,Pending,2025-06-30 17:18:00
2027,1412,38.35,Rejected,2025-06-22 17:49:00
2028,1478,18.04,Rejected,2025-08-10 15:44:00
2029,1075,21.29,Checked-In,2025-06-16 15:08:00
2030,1079,15.65,Pending,2025-09-25 20:48:00
2031,1308,13.61,Rejected,2025-07-24 05:56:00
2032,1331,8.69,Checked-In,2025-03-22 21:49:00
2033,1280,33.3,Rejected,2025-03-06 04:22:00
2034,1478,18.26,Pending,2025-09-06 17:40:00
2035,1257,13.33,Checked-In,2025-08-25 22:41:00
2036,1312,9.44,Checked-In,2025-07-09 03:48:00
2037,1174,27.96,Pending,2025-09-06 15:14:00
2038,1249,23.98,Rejected,2025-06-02 14:55:00
2039,1061,23.69,Rejected,2025-04-17 23:50:00
2040,1322,28.56,Rejected,2025-01-28 01:14:00
2041,1499,18.68,Pending,2025-02-12 15:26:00
2042,1438,9.87,Checked-In,2025-01-10 14:47:00
2043,1279,27.84,Checked-In,2025-07-12 10:01:00
2044,1310,25.34,Checked-In,2025-06-21 19:11:00
2045,1238,10.52,Checked-In,2025-07-17 15:18:00
2046,1318,36.53,Checked-In,2025-05-13 17:58:00
2047,1290,34.84,Checked-In,2025-09-12 00:12:00
2048,1033,33.94,Pending,2025-12-20 21:18:00
2049,1171,26.68,Rejected,2025-03-27 05:21:00
2050,1363,34.14,Checked-In,2025-12-22 00:25:00
2051,1360,35.87,Checked-In,2025-10-21 23:39:00
2052,1494,7.97,Pending,2025-06-15 09:05:00
2053,1117,5.7,Pending,2025-05-30 08:16:00
2054,1192,31.26,Checked-In,2025-06-28 04:13:00
2055,1020,9.14,Checked-In,2025-04-20 05:26:00
2056,1285,15.09,Checked-In,2025-07-22 08:09:00
2057,1347,20.39,Pending,2025-11-11 23:43:00
2058,1368,18.23,Checked-In,2026-01-01 18:03:00
2059,1174,14.92,Pending,2025-06-03 19:50:00
2060,1173,26.34,Checked-In,2025-11-03 06:35:00
2061,1352,18.87,Rejected,2025-07-18 12:30:00
2062,1266,15.0,Pending,2025-02-26 09:47:00
2063,1140,17.9,Pending,2025-08-09 17:46:00
2064,1497,23.29,Checked-In,2025-05-31 08:37:00
2065,1168,19.66,Pending,2025-09-05 17:56:00
2066,1212,31.69,Pending,2025-09-10 13:20:00
2067,1212,7.32,Checked-In,2025-03-31 03:21:00
2068,1164,12.28,Pending,2025-07-20 09:31:00
2069,1136,30.94,Pending,2025-06-18 23:34:00
2070,1219,17.64,Rejected,2025-12-03 05:07:00
2071,1385,33.31,Pending,2025-09-23 13:08:00
2072,1238,32.14,Pending,2025-03-29 05:27:00
2073,1090,32.29,Rejected,2025-05-08 20:37:00
2074,1190,13.02,Checked-In,2025-04-13 21:32:00
2075,1058,31.31,Checked-In,2025-05-19 22:45:00
2076,1435,34.82,Pending,2025-09-27 23:39:00
2077,1221,6.26,Checked-In,2025-09-25 09:59:00
2078,1348,16.4,Checked-In,2025-01-24 09:15:00
2079,1182,11.24,Pending,2025-04-01 14:50:00
2080,1029,33.03,Checked-In,2025-03-13 12:35:00
2081,1333,21.29,Rejected,2025-11-05 12:43:00
2082,1308,34.85,Checked-In,2025-11-04 02:28:00
2083,1340,32.13,Rejected,2025-03-28 10:07:00
2084,1423,12.74,Checked-In,2025-12-05 13:24:00
2085,1060,39.67,Checked-In,2025-02-11 08:05:00
2086,1202,25.67,Rejected,2025-02-22 10:38:00
2087,1063,26.27,Checked-In,2025-03-15 16:06:00
2088,1004,13.79,Checked-In,2025-12-23 02:00:00
2089,1314,19.46,Checked-In,2025-06-08 18:11:00
2090,1190,36.17,Rejected,2025-08-01 14:29:00
2091,1177,6.46,Checked-In,2025-05-12 13:27:00
2092,1166,28.22,Pending,2025-02-21 04:39:00
2093,1331,29.95,Rejected,2025-12-13 01:37:00
2094,1420,17.18,Rejected,2025-01-24 11:01:00
2095,1096,6.67,Checked-In,2025-10-29 14:21:00
2096,1209,18.85,Checked-In,2025-05-25 03:35:00
2097,1045,8.19,Pending,2025-02-16 15:22:00
2098,1022,12.05,Checked-In,2025-06-01 21:52:00
2099,1264,34.68,Rejected,2025-03-05 14:49:00
2100,1028,36.16,Checked-In,2026-01-01 13:32:00
2101,1216,5.92,Rejected,2025-03-19 15:07:00
2102,1080,18.88,Checked-In,2025-05-12 20:51:00
2103,1250,27.97,Checked-In,2025-03-21 15:55:00
2104,1270,39.11,Checked-In,2025-06-19 15:30:00
2105,1110,39.87,Rejected,2025-11-22 09:51:00
2106,1420,6.2,Pending,2025-11-01 02:01:00
2107,1120,39.73,Rejected,2025-03-30 18:47:00
2108,1142,32.91,Rejected,2025-12-29 04:55:00
2109,1357,17.15,Rejected,2025-12-28 21:17:00
2110,1306,23.38,Rejected,2025-08-18 21:51:00
2111,1179,26.95,Pending,2025-05-21 04:38:00
2112,1041,8.64,Pending,2025-04-13 04:28:00
2113,1266,23.96,Checked-In,2025-09-18 13:25:00
2114,1352,32.38,Checked-In,2025-06-04 20:12:00
2115,1010,23.23,Pending,2025-03-01 13:33:00
2116,1228,5.77,Checked-In,2025-09-16 01:06:00
2117,1276,35.57,Pending,2025-07-18 18:52:00
2118,1059,7.6,Rejected,2025-11-03 10:31:00
2119,1129,27.05,Pending,2025-02-12 13:05:00
2120,1097,14.09,Checked-In,2025-04-17 14:30:00
2121,1061,35.72,Rejected,2025-04-11 13:31:00
2122,1146,6.3,Rejected,2025-06-05 02:55:00
2123,1124,38.4,Pending,2025-10-07 18:30:00
2124,1074,18.23,Rejected,2025-09-08 06:20:00
2125,1386,39.45,Pending,2025-06-20 05:46:00
2126,1213,23.3,Rejected,2025-12-22 05:38:00
2127,1332,13.88,Rejected,2025-06-28 15:20:00
2128,1238,32.07,Checked-In,2025-02-02 15:13:00
2129,1436,33.39,Rejected,2025-10-30 22:42:00
2130,1403,36.76,Pending,2025-11-29 06:25:00
2131,1001,34.49,Pending,2025-05-24 11:55:00
2132,1208,22.09,Checked-In,2025-07-05 03:07:00
2133,1453,17.51,Checked-In,2025-01-29 14:17:00
