BOOKING_ID,PASSENGER_ID,FLIGHT_ID,BOOKING_AMOUNT,BOOKING_DATE,BOOKING_STATUS
1001,90,169,17334.92,2025-05-12,Cancelled
1002,283,427,30621.31,2025-04-09,Confirmed
1003,449,166,48707.57,2025-04-05,Confirmed
1004,364,429,20779.94,2025-05-08,Cancelled
1005,232,220,30173.05,2025-02-25,Confirmed
1006,274,498,30771.02,2025-12-04,Confirmed
1007,243,176,10899.38,2025-07-25,Confirmed
1008,326,143,39506.23,2025-04-01,Cancelled
1009,229,497,26480.56,2025-04-15,Pending
1010,13,355,5590.95,2025-12-09,Confirmed
1011,48,286,17568.93,2025-01-23,Cancelled
1012,352,516,42851.66,2025-07-09,Confirmed
1013,408,210,34340.66,2025-05-30,Pending
1014,9,587,30964.99,2025-12-09,Confirmed
1015,105,276,12992.93,2025-05-13,Confirmed
1016,401,102,28448.93,2025-09-09,Pending
1017,457,175,44693.99,2025-05-19,Cancelled
1018,437,439,46378.66,2025-08-23,Confirmed
1019,165,306,45515.28,2025-03-10,Pending
1020,449,267,4691.75,2025-07-12,Pending
1021,336,453,33279.0,2025-06-26,Pending
1022,408,369,46789.43,2025-03-07,Cancelled
1023,300,560,18629.22,2025-12-07,Confirmed
1024,138,417,26019.95,2025-08-04,Confirmed
1025,118,282,19264.5,2025-03-11,Pending
1026,349,265,14884.39,2025-11-09,Cancelled
1027,298,131,40787.85,2025-11-13,Cancelled
1028,157,424,41882.86,2025-05-10,Pending
1029,4,594,14610.51,2025-02-27,Cancelled
1030,428,160,14438.35,2025-10-13,Confirmed
1031,125,493,15081.49,2025-05-01,Cancelled
1032,38,367,42865.36,2025-12-14,Confirmed
1033,11,431,30311.48,2025-03-08,Pending
1034,24,370,14445.74,2025-07-18,Pending
1035,122,513,40576.32,2025-09-30,Cancelled
1036,363,391,30884.29,2025-03-31,Cancelled
1037,407,414,15530.57,2025-12-20,Pending
1038,185,188,30904.26,2025-05-04,Cancelled
1039,101,181,18524.55,2025-06-02,Confirmed
1040,153,471,3843.34,2025-07-09,Pending
1041,359,533,15595.55,2025-10-15,Pending
1042,413,492,9399.1,2025-09-11,Pending
1043,164,302,34247.06,2025-11-13,Confirmed
1044,60,552,16720.64,2025-02-27,Confirmed
1045,123,395,22156.45,2025-02-22,Confirmed
1046,131,500,48822.72,2025-05-26,Confirmed
1047,216,448,21657.21,2025-01-19,Confirmed
1048,344,357,30332.71,2025-05-31,Cancelled
1049,166,504,15327.77,2025-12-19,Cancelled
1050,407,557,13193.69,2025-12-10,Cancelled
1051,436,477,45712.18,2025-11-11,Pending
1052,174,301,20694.03,2025-08-14,Confirmed
1053,320,157,45492.78,2025-08-03,Cancelled
1054,166,472,10377.78,2025-01-21,Pending
1055,498,589,46190.54,2025-04-14,Confirmed
1056,461,364,45998.81,2025-10-25,Confirmed
1057,133,501,11131.64,2025-05-10,Pending
1058,401,575,19943.55,2025-12-08,Pending
1059,458,565,44009.38,2025-07-13,Pending
1060,465,542,47376.47,2025-06-18,Cancelled
1061,108,301,42519.22,2025-10-26,Confirmed
1062,233,156,48287.88,2025-01-29,Pending
1063,439,453,8197.9,2025-12-25,Confirmed
1064,247,193,19785.41,2025-07-23,Confirmed
1065,65,409,34473.43,2025-11-22,Pending
1066,481,180,38940.28,2025-04-29,Confirmed
1067,313,187,3757.82,2025-06-25,Pending
1068,258,154,30801.3,2025-06-05,Cancelled
1069,184,199,28887.12,2025-06-23,Pending
1070,59,308,37172.53,2025-12-18,Confirmed
1071,412,432,28210.82,2025-11-05,Cancelled
1072,429,498,42912.48,2025-03-05,Pending
1073,281,506,5340.85,2025-06-19,Confirmed
1074,54,391,49991.21,2025-06-25,Confirmed
1075,173,397,23418.83,2025-09-25,Confirmed
1076,198,504,3254.55,2025-06-14,Pending
1077,96,586,46934.43,2025-03-13,Cancelled
1078,31,499,46292.92,2025-06-03,Cancelled
1079,362,120,20202.07,2025-06-07,Confirmed
1080,208,227,37650.94,2025-10-21,Pending
1081,102,562,29292.31,2025-09-18,Pending
1082,128,302,22012.13,2025-04-02,Cancelled
1083,470,511,24642.44,2025-08-11,Pending
1084,241,171,15503.55,2025-04-25,Pending
1085,315,536,28567.18,2025-02-28,Pending
1086,45,304,15433.03,2025-02-03,Pending
1087,286,564,31577.16,2025-10-26,Pending
1088,457,566,25648.81,2025-08-24,Cancelled
