ALERT_ID,FLIGHT_ID,DELAY_REASON,DELAY_DURATION,ALERT_STATUS
3001,386,Weather Issue,172,Resolved
3002,199,Crew Delay,160,Resolved
3003,555,Weather Issue,68,Active
3004,506,Crew Delay,102,Active
3005,134,Air Traffic,169,Active
3006,207,Technical Problem,119,Resolved
3007,392,Weather Issue,180,Resolved
3008,402,Air Traffic,176,Active
3009,529,Weather Issue,106,Active
3010,266,Technical Problem,18,Resolved
3011,238,Technical Problem,48,Resolved
3012,362,Crew Delay,138,Resolved
3013,543,Technical Problem,28,Active
3014,428,Weather Issue,95,Resolved
3015,564,Air Traffic,99,Resolved
3016,364,Air Traffic,132,Resolved
3017,521,Weather Issue,136,Active
3018,539,Crew Delay,23,Resolved
3019,550,Air Traffic,106,Resolved
3020,582,Crew Delay,43,Resolved
3021,558,Weather Issue,31,Resolved
3022,477,Air Traffic,113,Resolved
3023,295,Crew Delay,39,Active
3024,561,Technical Problem,49,Resolved
3025,521,Technical Problem,44,Active
3026,434,Crew Delay,54,Resolved
3027,438,Crew Delay,101,Active
3028,561,Weather Issue,31,Resolved
3029,371,Air Traffic,84,Resolved
3030,331,Crew Delay,137,Active
3031,598,Technical Problem,98,Resolved
3032,113,Crew Delay,123,Resolved
3033,154,Crew Delay,115,Active
3034,257,Weather Issue,41,Resolved
3035,166,Air Traffic,64,Resolved
3036,220,Weather Issue,27,Active
3037,305,Technical Problem,167,Resolved
3038,339,Air Traffic,33,Active
3039,250,Air Traffic,112,Active
3040,151,Crew Delay,179,Resolved
3041,569,Technical Problem,19,Active
3042,536,Crew Delay,155,Resolved
3043,586,Air Traffic,16,Resolved
3044,312,Weather Issue,109,Resolved
3045,391,Technical Problem,30,Active
3046,155,Weather Issue,86,Active
3047,171,Weather Issue,112,Resolved
3048,488,Technical Problem,134,Active
3049,128,Air Traffic,103,Resolved
3050,467,Weather Issue,143,Active
3051,323,Weather Issue,69,Resolved
3052,512,Weather Issue,170,Active
3053,593,Crew Delay,22,Resolved
3054,136,Air Traffic,122,Resolved
3055,547,Air Traffic,60,Active
3056,105,Technical Problem,80,Active
3057,497,Crew Delay,35,Active
3058,303,Technical Problem,175,Active
3059,166,Air Traffic,78,Active
3060,481,Air Traffic,59,Active
3061,370,Air Traffic,78,Active
3062,206,Crew Delay,140,Active
3063,363,Crew Delay,78,Active
3064,514,Weather Issue,114,Active
3065,227,Air Traffic,53,Resolved
3066,594,Air Traffic,39,Active
3067,123,Crew Delay,54,Resolved
3068,346,Technical Problem,130,Resolved
3069,241,Weather Issue,151,Resolved
3070,170,Weather Issue,94,Resolved
3071,446,Weather Issue,36,Active
3072,139,Weather Issue,77,Active
3073,124,Air Traffic,103,Resolved
3074,495,Weather Issue,26,Active
3075,259,Technical Problem,156,Resolved
3076,161,Weather Issue,66,Resolved
3077,290,Weather Issue,75,Resolved
3078,304,Air Traffic,66,Resolved
3079,133,Crew Delay,17,Active
3080,572,Air Traffic,149,Resolved
3081,587,Technical Problem,62,Active
3082,163,Crew Delay,128,Resolved
3083,221,Weather Issue,151,Resolved
3084,246,Air Traffic,109,Active
3085,243,Weather Issue,174,Resolved
3086,206,Crew Delay,146,Active
3087,467,Technical Problem,29,Active
3088,304,Technical Problem,63,Active
3089,212,Technical Problem,105,Active
3090,367,Weather Issue,59,Active
3091,427,Weather Issue,173,Resolved
3092,128,Air Traffic,120,Resolved
3093,268,Crew Delay,41,Active
3094,158,Weather Issue,145,Active
3095,251,Weather Issue,55,Resolved
3096,457,Technical Problem,149,Resolved
3097,547,Air Traffic,132,Active
3098,323,Air Traffic,112,Active
3099,179,Air Traffic,95,Resolved
3100,571,Weather Issue,105,Resolved
3101,552,Technical Problem,170,Active
3102,263,Crew Delay,157,Resolved
3103,166,Technical Problem,60,Resolved
3104,264,Air Traffic,86,Resolved
3105,484,Air Traffic,97,Resolved
3106,457,Air Traffic,126,Resolved
3107,589,Air Traffic,131,Resolved
3108,423,Weather Issue,31,Resolved
3109,355,Crew Delay,153,Resolved
3110,216,Technical Problem,129,Resolved
3111,463,Weather Issue,66,Resolved
3112,320,Weather Issue,15,Resolved
3113,453,Crew Delay,83,Active
3114,299,Air Traffic,52,Active
3115,582,Crew Delay,141,Active
3116,216,Weather Issue,128,Active
3117,427,Technical Problem,162,Resolved
3118,573,Air Traffic,133,Active
3119,354,Weather Issue,157,Resolved
3120,157,Weather Issue,101,Resolved
3121,501,Weather Issue,108,Resolved
3122,509,Crew Delay,124,Active
3123,164,Technical Problem,150,Active
3124,276,Crew Delay,77,Resolved
3125,432,Crew Delay,124,Active
3126,546,Crew Delay,120,Active
3127,484,Air Traffic,131,Active
3128,559,Crew Delay,21,Active
3129,105,Technical Problem,61,Active
3130,128,Weather Issue,167,Resolved
3131,117,Technical Problem,93,Resolved
3132,438,Technical Problem,100,Resolved
3133,561,Technical Problem,41,Active
3134,536,Air Traffic,146,Active
3135,570,Air Traffic,19,Active
3136,468,Technical Problem,47,Active
3137,558,Weather Issue,46,Resolved
3138,185,Technical Problem,150,Resolved
3139,176,Technical Problem,148,Active
3140,125,Technical Problem,99,Resolved
3141,195,Air Traffic,98,Resolved
3142,587,Crew Delay,173,Resolved
3143,118,Crew Delay,121,Resolved
3144,340,Technical Problem,35,Active
3145,268,Technical Problem,97,Resolved
3146,475,Air Traffic,180,Active
3147,510,Crew Delay,137,Resolved
3148,371,Technical Problem,147,Resolved
3149,413,Air Traffic,134,Resolved
3150,391,Weather Issue,61,Active
3151,273,Crew Delay,157,Resolved
3152,167,Technical Problem,170,Active
3153,170,Weather Issue,103,Resolved
3154,190,Technical Problem,153,Active
3155,105,Technical Problem,70,Resolved
3156,404,Weather Issue,104,Resolved
3157,227,Technical Problem,22,Active
3158,358,Crew Delay,16,Active
3159,201,Air Traffic,37,Resolved
3160,526,Air Traffic,180,Active
3161,280,Weather Issue,72,Resolved
3162,154,Weather Issue,65,Active
3163,569,Technical Problem,176,Resolved
3164,298,Technical Problem,78,Active
3165,364,Weather Issue,145,Active
3166,361,Technical Problem,169,Active
3167,402,Technical Problem,153,Active
3168,316,Weather Issue,15,Active
3169,456,Crew Delay,38,Active
3170,291,Technical Problem,75,Resolved
3171,264,Crew Delay,64,Resolved
3172,108,Technical Problem,150,Active
3173,573,Crew Delay,36,Resolved
3174,377,Weather Issue,36,Resolved
3175,255,Technical Problem,176,Active
3176,391,Weather Issue,37,Resolved
3177,573,Technical Problem,112,Active
3178,277,Air Traffic,76,Resolved
3179,186,Weather Issue,97,Active
3180,149,Technical Problem,173,Active
3181,312,Technical Problem,116,Active
3182,101,Weather Issue,147,Active
3183,230,Weather Issue,53,Resolved
3184,309,Weather Issue,164,Active
3185,595,Crew Delay,113,Resolved
3186,279,Air Traffic,39,Resolved
3187,488,Technical Problem,52,Resolved
3188,157,Air Traffic,37,Active
3189,474,Weather Issue,61,Resolved
3190,474,Weather Issue,176,Active
3191,154,Technical Problem,154,Active
3192,165,Weather Issue,84,Active
3193,411,Air Traffic,67,Resolved
3194,410,Air Traffic,178,Resolved
3195,566,Technical Problem,65,Resolved
3196,449,Air Traffic,103,Resolved
3197,338,Weather Issue,177,Resolved
3198,241,Crew Delay,87,Active
3199,359,Technical Problem,105,Resolved
3200,258,Technical Problem,48,Active
3201,159,Weather Issue,116,Resolved
3202,543,Technical Problem,166,Active
3203,474,Air Traffic,119,Resolved
3204,167,Air Traffic,124,Active
3205,521,Air Traffic,133,Resolved
3206,511,Weather Issue,32,Active
3207,196,Weather Issue,56,Resolved
3208,489,Crew Delay,98,Active
3209,427,Weather Issue,98,Resolved
3210,155,Technical Problem,150,Active
3211,440,Crew Delay,49,Resolved
3212,554,Crew Delay,15,Active
3213,584,Crew Delay,129,Resolved
3214,483,Air Traffic,47,Resolved
3215,416,Crew Delay,175,Active
3216,267,Crew Delay,78,Resolved
3217,240,Technical Problem,21,Active
3218,555,Air Traffic,45,Resolved
3219,214,Technical Problem,76,Resolved
3220,186,Crew Delay,25,Resolved
3221,555,Weather Issue,132,Resolved
3222,552,Crew Delay,78,Resolved
3223,218,Technical Problem,90,Resolved
3224,138,Weather Issue,84,Resolved
3225,156,Weather Issue,179,Resolved
3226,343,Technical Problem,18,Active
3227,551,Weather Issue,94,Active
3228,228,Air Traffic,50,Resolved
3229,261,Air Traffic,98,Resolved
3230,132,Crew Delay,138,Resolved
3231,575,Crew Delay,48,Resolved
3232,447,Air Traffic,143,Active
3233,382,Weather Issue,108,Active
3234,538,Technical Problem,128,Resolved
3235,167,Technical Problem,48,Resolved
3236,105,Weather Issue,108,Resolved
3237,170,Technical Problem,51,Resolved
3238,484,Crew Delay,88,Resolved
3239,456,Air Traffic,32,Resolved
3240,164,Technical Problem,38,Resolved
3241,541,Crew Delay,76,Active
3242,326,Technical Problem,54,Resolved
3243,517,Technical Problem,49,Resolved
3244,412,Air Traffic,151,Resolved
3245,549,Weather Issue,178,Active
3246,299,Technical Problem,41,Resolved
3247,187,Crew Delay,19,Resolved
3248,512,Crew Delay,126,Resolved
3249,327,Technical Problem,83,Resolved
3250,174,Technical Problem,56,Active
3251,127,Air Traffic,64,Resolved
3252,169,Crew Delay,95,Active
3253,168,Weather Issue,157,Resolved
3254,254,Crew Delay,65,Resolved
3255,409,Weather Issue,27,Resolved
3256,310,Technical Problem,175,Resolved
3257,591,Air Traffic,71,Resolved
3258,275,Technical Problem,34,Active
3259,394,Air Traffic,168,Resolved
3260,340,Weather Issue,79,Active
3261,527,Weather Issue,100,Resolved
3262,329,Crew Delay,62,Active
3263,103,Technical Problem,69,Active
3264,568,Crew Delay,103,Active
3265,243,Crew Delay,76,Resolved
3266,280,Weather Issue,15,Resolved
3267,537,Weather Issue,155,Active
3268,579,Air Traffic,132,Active
3269,224,Weather Issue,104,Resolved
3270,198,Weather Issue,47,Active
3271,107,Air Traffic,135,Resolved
3272,187,Crew Delay,73,Resolved
3273,395,Weather Issue,58,Active
3274,241,Technical Problem,84,Active
3275,212,Crew Delay,87,Resolved
3276,151,Crew Delay,153,Resolved
3277,511,Weather Issue,25,Active
3278,211,Air Traffic,93,Active
3279,401,Air Traffic,30,Active
3280,394,Weather Issue,122,Resolved
3281,430,Weather Issue,115,Resolved
3282,426,Weather Issue,104,Resolved
3283,531,Weather Issue,51,Active
3284,105,Technical Problem,144,Resolved
3285,592,Weather Issue,17,Active
3286,355,Technical Problem,140,Active
3287,591,Air Traffic,43,Resolved
3288,107,Technical Problem,96,Resolved
3289,247,Weather Issue,127,Active
3290,537,Technical Problem,179,Active
3291,437,Technical Problem,79,Active
3292,153,Weather Issue,101,Resolved
3293,566,Crew Delay,107,Resolved
3294,557,Weather Issue,172,Resolved
3295,457,Weather Issue,140,Resolved
3296,550,Crew Delay,151,Active
3297,519,Technical Problem,159,Resolved
3298,296,Air Traffic,156,Resolved
3299,429,Technical Problem,122,Active
3300,552,Air Traffic,49,Active
3301,430,Weather Issue,124,Resolved
3302,162,Air Traffic,36,Resolved
3303,108,Air Traffic,170,Resolved
3304,491,Technical Problem,60,Resolved
3305,114,Weather Issue,86,Active
3306,222,Crew Delay,52,Resolved
3307,193,Technical Problem,24,Active
3308,584,Weather Issue,175,Resolved
3309,587,Weather Issue,129,Resolved
