FLIGHT_ID,AIRLINE_NAME,SOURCE_AIRPORT,DESTINATION_AIRPORT,FLIGHT_STATUS
101,Emirates,Mumbai,Chennai,Cancelled
102,Air India,Mumbai,Singapore,On Time
103,Air India,Dubai,London,Delayed
104,Air India,Dubai,Mumbai,On Time
105,SpiceJet,Delhi,Dubai,Delayed
106,Qatar Airways,London,Mumbai,Cancelled
107,IndiGo,Chennai,Mumbai,Cancelled
108,SpiceJet,London,Delhi,Cancelled
109,Air India,London,Mumbai,On Time
110,SpiceJet,Dubai,Chennai,On Time
111,IndiGo,Singapore,Mumbai,Cancelled
112,Emirates,London,Dubai,Delayed
113,Air India,Singapore,Dubai,On Time
114,Air India,Dubai,Delhi,On Time
115,Qatar Airways,Delhi,Chennai,On Time
116,Emirates,Singapore,Chennai,Cancelled
117,Air India,Chennai,Singapore,On Time
118,Qatar Airways,Delhi,Dubai,Cancelled
119,IndiGo,Chennai,Dubai,On Time
120,IndiGo,Dubai,Delhi,Delayed
121,Air India,Dubai,Mumbai,On Time
122,Qatar Airways,Delhi,Singapore,Delayed
123,SpiceJet,Delhi,Mumbai,Cancelled
124,Qatar Airways,London,Chennai,On Time
125,Qatar Airways,Dubai,Delhi,Cancelled
126,Emirates,Singapore,Mumbai,On Time
127,Air India,Dubai,Singapore,Delayed
128,SpiceJet,Dubai,Chennai,On Time
129,Qatar Airways,London,Chennai,Cancelled
130,IndiGo,Chennai,London,On Time
131,Air India,Chennai,London,Delayed
132,Emirates,Dubai,Singapore,On Time
133,Emirates,Delhi,Chennai,Cancelled
134,Air India,London,Mumbai,Cancelled
135,IndiGo,London,Dubai,Cancelled
136,Air India,Dubai,Delhi,Cancelled
137,Emirates,Mumbai,London,Cancelled
138,SpiceJet,London,Delhi,Cancelled
139,Air India,Singapore,Delhi,On Time
140,Qatar Airways,London,Delhi,Delayed
141,Qatar Airways,London,Delhi,Delayed
142,SpiceJet,Singapore,Mumbai,On Time
143,SpiceJet,Chennai,Delhi,Cancelled
144,Emirates,Mumbai,Delhi,On Time
145,Qatar Airways,Singapore,Delhi,On Time
146,IndiGo,Chennai,Singapore,On Time
147,Qatar Airways,Delhi,Dubai,Cancelled
148,Air India,Dubai,Delhi,Delayed
149,IndiGo,London,Chennai,Cancelled
150,Air India,London,Chennai,Cancelled
151,Air India,London,Chennai,On Time
152,Qatar Airways,London,Delhi,Delayed
153,SpiceJet,Mumbai,Delhi,Cancelled
154,SpiceJet,London,Singapore,Delayed
155,Emirates,London,Mumbai,Cancelled
156,Air India,Mumbai,Singapore,Cancelled
157,SpiceJet,Mumbai,Dubai,Cancelled
158,Qatar Airways,Mumbai,Dubai,On Time
159,Air India,Mumbai,Chennai,Delayed
160,Qatar Airways,Delhi,Mumbai,On Time
161,SpiceJet,London,Singapore,Delayed
162,SpiceJet,Singapore,London,Cancelled
163,IndiGo,Dubai,Singapore,On Time
164,Qatar Airways,Dubai,Delhi,Cancelled
165,Qatar Airways,London,Singapore,Delayed
166,IndiGo,Dubai,Singapore,On Time
167,IndiGo,Mumbai,Delhi,Cancelled
168,Qatar Airways,Singapore,Delhi,On Time
169,SpiceJet,Dubai,Chennai,Delayed
170,Qatar Airways,Singapore,Mumbai,On Time
171,IndiGo,Mumbai,Delhi,Delayed
172,Air India,Chennai,London,Delayed
173,Emirates,Dubai,Chennai,Delayed
174,Air India,Chennai,Delhi,Cancelled
175,IndiGo,Chennai,Delhi,On Time
176,Air India,Delhi,Mumbai,Delayed
177,Emirates,Mumbai,Delhi,Delayed
178,Air India,London,Chennai,On Time
179,IndiGo,London,Chennai,Delayed
180,SpiceJet,Dubai,Delhi,Delayed
181,Emirates,Chennai,Dubai,Cancelled
182,IndiGo,Mumbai,Singapore,On Time
